xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
1695,#e81a4b,49,#3efe44,63,38,88,-78.822,70.972,50,73.589,28.891,0.682302632,0.148552632,0.53375
1696,#e81a4b,49,#73cf10,64,25,75,-53.857,72.28,50,73.589,28.891,0.761710526,0.148552632,0.613157895
1697,#e81a4b,49,#9af443,65,38,88,-53.857,72.28,50,73.589,28.891,0.616710526,0.148552632,0.468157895
1698,#e81a4b,49,#aac510,66,25,75,-28.891,73.589,50,73.589,28.891,0.634407895,0.148552632,0.485855263
1699,#e81a4b,49,#d0e942,67,38,88,-28.891,73.589,50,73.589,28.891,0.516184211,0.148552632,0.367631579
17,#2f6ef6,0,#dddddd,29,38,88,0,0,50,28.891,-73.589,0.098815789,0.045657895,0.053157895
170,#443b14,41,#b62ef2,3,25,50,78.822,-70.972,25,-1.3084,24.966,0.077039474,0.653355263,-0.576315789
1700,#e81a4b,49,#d5b811,68,25,75,-3.9252,74.897,50,73.589,28.891,0.521578947,0.148552632,0.373026316
1701,#e81a4b,49,#fcdb42,69,38,88,-3.9252,74.897,50,73.589,28.891,0.492105263,0.148552632,0.343552632
1702,#e81a4b,49,#fba714,70,25,75,21.041,76.206,50,73.589,28.891,0.483815789,0.148552632,0.335263158
1703,#0e8a19,50,#67cf5c,51,25,75,-52.548,47.315,50,-52.548,47.315,0.775460526,0.930592105,-0.155131579
1704,#0e8a19,50,#8cf47e,52,38,88,-52.548,47.315,50,-52.548,47.315,0.635,0.930592105,-0.295592105
1705,#0e8a19,50,#a3c55b,54,25,75,-27.583,48.623,50,-52.548,47.315,0.671710526,0.930592105,-0.258881579
1706,#0e8a19,50,#c8e97d,55,38,88,-27.583,48.623,50,-52.548,47.315,0.476447368,0.930592105,-0.454144737
1707,#0e8a19,50,#d0b85a,57,25,75,-2.6168,49.931,50,-52.548,47.315,0.500592105,0.930592105,-0.43
1708,#0e8a19,50,#f7db7c,58,38,88,-2.6168,49.931,50,-52.548,47.315,0.380789474,0.930592105,-0.549802632
1709,#0e8a19,50,#f7a75a,60,25,75,22.349,51.24,50,-52.548,47.315,0.41,0.930592105,-0.520592105
171,#b62ef2,3,#c7b88b,43,25,75,-1.3084,24.966,50,78.822,-70.972,0.295131579,0.077039474,0.218092105
1710,#0e8a19,50,#3efe44,63,38,88,-78.822,70.972,50,-52.548,47.315,0.682302632,0.930592105,-0.248289474
1711,#0e8a19,50,#73cf10,64,25,75,-53.857,72.28,50,-52.548,47.315,0.761710526,0.930592105,-0.168881579
1712,#0e8a19,50,#9af443,65,38,88,-53.857,72.28,50,-52.548,47.315,0.616710526,0.930592105,-0.313881579
1713,#0e8a19,50,#aac510,66,25,75,-28.891,73.589,50,-52.548,47.315,0.634407895,0.930592105,-0.296184211
1714,#0e8a19,50,#d0e942,67,38,88,-28.891,73.589,50,-52.548,47.315,0.516184211,0.930592105,-0.414407895
1715,#0e8a19,50,#d5b811,68,25,75,-3.9252,74.897,50,-52.548,47.315,0.521578947,0.930592105,-0.409013158
1716,#0e8a19,50,#fcdb42,69,38,88,-3.9252,74.897,50,-52.548,47.315,0.492105263,0.930592105,-0.438486842
