subjectID,xPair,colorPair,concept,lightrgb,lightcolor_index,darkrgb,dark_colorIndex,sdDarkness,meanDarkness,seDarkness,meanPropDark,semDistAssocSSNorm,seDark,assocOuter1,assocOuter2,assocInner1,assocInner2,semDistAssocWeightm1,darkSideWeightm1,comboSign,Outer1m1c,Outer2m1c,Inner1m1c,Inner2m1c,semDistComboM1,semDistComboSign,darkSideWeight,lineX,se1
17063,1784,55,fire,#fcdb42,69,#897618,56,0.140540252,0.884375,0.070270126,0.65,-0.2509,0.15,0.463,0.336083333,0.577166667,0.437083333,0.7,0.3,1,0.5894125,0.500570833,0.404016667,0.305958333,0.433582384,0.433582384,0.3,0.3,0.017844253
17063,1784,55,fire,#fcdb42,69,#897618,56,0.140540252,0.884375,0.070270126,0.65,-0.2509,0.15,0.463,0.336083333,0.577166667,0.437083333,1,0,-1,0.463,0.336083333,0.577166667,0.437083333,-0.250492883,-0.250492883,0,0.3,0.303042415
11698,1803,56,fire,#3efe44,63,#ac6619,59,0.141308985,0.305625,0.070654492,1,0.9849,0,0.735666667,0.746916667,0.167916667,0.179416667,0,1,1,0.305625,0.305625,0,0,0.832031967,0.832031967,1,1,0.02821326
11698,1803,56,fire,#3efe44,63,#ac6619,59,0.141308985,0.305625,0.070654492,1,0.9849,0,0.735666667,0.746916667,0.167916667,0.179416667,1,0,1,0.735666667,0.746916667,0.167916667,0.179416667,0.983326979,0.983326979,0,1,0.00027799
11698,1803,56,fire,#3efe44,63,#ac6619,59,0.141308985,0.305625,0.070654492,1,0.9849,0,0.735666667,0.746916667,0.167916667,0.179416667,0.7,0.3,1,0.606654167,0.614529167,0.117541667,0.125591667,0.941939276,0.941939276,0.3,1,0.003371048
19536,1807,57,fire,#d0e942,67,#ac6619,59,0.165642688,0.625,0.082821344,0.99,-0.9079,0.01,0.735666667,0.665583333,0.302083333,0.179416667,0,1,1,0.625,0.625,0,0,0.990026116,0.990026116,1,0.98,0.000100523
19536,1807,57,fire,#d0e942,67,#ac6619,59,0.165642688,0.625,0.082821344,0.99,-0.9079,0.01,0.735666667,0.665583333,0.302083333,0.179416667,0.7,0.3,1,0.702466667,0.653408333,0.211458333,0.125591667,0.952504209,0.952504209,0.3,0.98,0.000756019
19536,1807,57,fire,#d0e942,67,#ac6619,59,0.165642688,0.625,0.082821344,0.99,-0.9079,0.01,0.735666667,0.665583333,0.302083333,0.179416667,1,0,1,0.735666667,0.665583333,0.302083333,0.179416667,0.906441925,0.906441925,0,0.98,0.00541079
14132,225,5,ice,#3efe44,63,#077acc,4,0.049639324,0.200625,0.024819662,0.872727273,-0.9789,0.094475499,0.8755,0.66725,0.113416667,0.326,0.7,0.3,1,0.6730375,0.5272625,0.079391667,0.2282,0.903805759,0.903805759,0.3,0.745454545,0.025075107
14132,225,5,ice,#3efe44,63,#077acc,4,0.049639324,0.200625,0.024819662,0.872727273,-0.9789,0.094475499,0.8755,0.66725,0.113416667,0.326,0,1,1,0.200625,0.200625,0,0,0.751647326,0.751647326,1,0.745454545,3.84E-05
14132,225,5,ice,#3efe44,63,#077acc,4,0.049639324,0.200625,0.024819662,0.872727273,-0.9789,0.094475499,0.8755,0.66725,0.113416667,0.326,1,0,1,0.8755,0.66725,0.113416667,0.326,0.977342039,0.977342039,0,0.745454545,0.05377181
12367,225,5,water,#3efe44,63,#077acc,4,0.049639324,0.200625,0.024819662,0.83,-0.962,0.115518156,0.931083333,0.519833333,0.271416667,0.161083333,0.7,0.3,1,0.711945833,0.424070833,0.189991667,0.112758333,0.894230978,0.894230978,0.3,0.66,0.054864151
12367,225,5,water,#3efe44,63,#077acc,4,0.049639324,0.200625,0.024819662,0.83,-0.962,0.115518156,0.931083333,0.519833333,0.271416667,0.161083333,1,0,1,0.931083333,0.519833333,0.271416667,0.161083333,0.960543206,0.960543206,0,0.66,0.090326218
12367,225,5,water,#3efe44,63,#077acc,4,0.049639324,0.200625,0.024819662,0.83,-0.962,0.115518156,0.931083333,0.519833333,0.271416667,0.161083333,0,1,1,0.200625,0.200625,0,0,0.751647326,0.751647326,1,0.66,0.008399232
